ex_factory_vials,shipment_date,valid_order,wholesaler_name_2,wholesaler_name,week_end_date,month_year,quarter_year,year,is_business_day,unit_price,discount,gross_sales,net_sales
4,2022-04-18,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-04-22,2022-04,2022-Q2,2022,1,6785,0.15,27140,23069
15,2022-04-21,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-04-22,2022-04,2022-Q2,2022,1,6785,0.15,101775,86508.75
10,2022-04-21,1,DOTHAN D AND S                     ,CENCORA,2022-04-22,2022-04,2022-Q2,2022,1,6785,0.15,67850,57672.5
2,2022-04-26,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-04-29,2022-04,2022-Q2,2022,1,6785,0.15,13570,11534.5
10,2022-04-28,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-04-29,2022-04,2022-Q2,2022,1,6785,0.15,67850,57672.5
10,2022-04-28,1,DOTHAN D AND S                     ,CENCORA,2022-04-29,2022-04,2022-Q2,2022,1,6785,0.15,67850,57672.5
50,2022-05-02,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-05-06,2022-05,2022-Q2,2022,1,6785,0.15,339250,288362.5
2,2022-05-03,1,McKesson Specialty Care DC         ,MSH,2022-05-06,2022-05,2022-Q2,2022,1,6785,0.15,13570,11534.5
13,2022-05-03,0,PANTHERRX RARE                     ,PANTHERRX,2022-05-06,2022-05,2022-Q2,2022,1,6649.3,0.15,86440.9,73474.765
15,2022-05-05,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-05-06,2022-05,2022-Q2,2022,1,6785,0.15,101775,86508.75
5,2022-05-09,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-05-13,2022-05,2022-Q2,2022,1,6785,0.15,33925,28836.25
4,2022-05-09,1,McKesson Specialty Care DC         ,MSH,2022-05-13,2022-05,2022-Q2,2022,1,6785,0.15,27140,23069
5,2022-05-12,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-05-13,2022-05,2022-Q2,2022,1,6785,0.15,33925,28836.25
4,2022-05-16,1,McKesson Specialty Care DC         ,MSH,2022-05-20,2022-05,2022-Q2,2022,1,6785,0.15,27140,23069
9,2022-05-16,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-05-20,2022-05,2022-Q2,2022,1,6785,0.15,61065,51905.25
10,2022-05-16,1,DOTHAN D AND S                     ,CENCORA,2022-05-20,2022-05,2022-Q2,2022,1,6785,0.15,67850,57672.5
12,2022-05-17,1,PANTHERRX RARE                     ,PANTHERRX,2022-05-20,2022-05,2022-Q2,2022,1,6649.3,0.15,79791.6,67822.86
20,2022-05-19,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-05-20,2022-05,2022-Q2,2022,1,6785,0.15,135700,115345
4,2022-05-19,1,DOTHAN D AND S                     ,CENCORA,2022-05-20,2022-05,2022-Q2,2022,1,6785,0.15,27140,23069
