qty_sold,shipment_date,valid_order,wholesaler_name,short_wholesaler_name,week_end_date,month_year,quarter_year,year,is_business_day,unit_price,discount
2,2022-04-26,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-04-29,2022-04,2022-Q2,2022,1,6785.0,0.15
10,2022-04-28,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-04-29,2022-04,2022-Q2,2022,1,6785.0,0.15
10,2022-04-28,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-04-29,2022-04,2022-Q2,2022,1,6785.0,0.15
50,2022-05-02,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-05-06,2022-05,2022-Q2,2022,1,6785.0,0.15
2,2022-05-03,1,McKesson Specialty Care DC         ,MSH,2022-05-06,2022-05,2022-Q2,2022,1,6785.0,0.15
13,2022-05-03,0,PANTHERRX RARE                     ,PANTHERRX,2022-05-06,2022-05,2022-Q2,2022,1,6649.3,0.15
15,2022-05-05,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-05-06,2022-05,2022-Q2,2022,1,6785.0,0.15
5,2022-05-09,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-05-13,2022-05,2022-Q2,2022,1,6785.0,0.15
4,2022-05-09,1,McKesson Specialty Care DC         ,MSH,2022-05-13,2022-05,2022-Q2,2022,1,6785.0,0.15
5,2022-05-12,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-05-13,2022-05,2022-Q2,2022,1,6785.0,0.15
4,2022-05-16,1,McKesson Specialty Care DC         ,MSH,2022-05-20,2022-05,2022-Q2,2022,1,6785.0,0.15
9,2022-05-16,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-05-20,2022-05,2022-Q2,2022,1,6785.0,0.15
10,2022-05-16,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-05-20,2022-05,2022-Q2,2022,1,6785.0,0.15
12,2022-05-17,1,PANTHERRX RARE                     ,PANTHERRX,2022-05-20,2022-05,2022-Q2,2022,1,6649.3,0.15
20,2022-05-19,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-05-20,2022-05,2022-Q2,2022,1,6785.0,0.15
4,2022-05-19,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-05-20,2022-05,2022-Q2,2022,1,6785.0,0.15
